City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,werda,-25.2667,23.2833,22.6,67,85,3.93,BW,1675646167
133,yamethin,20.4333,96.15,18.14,30,12,2.2,MM,1675646169
134,vilyuysk,63.7553,121.6247,-47.07,99,81,1.82,RU,1675646170
135,vaini,-21.2,-175.2,27.41,70,97,4.79,TO,1675646172
136,jamestown,42.097,-79.2353,4.84,70,100,5.14,US,1675646060
137,husavik,66.0449,-17.3389,6.64,67,100,14.75,IS,1675646174
138,touros,-5.1989,-35.4608,26.62,76,8,5.07,BR,1675645990
139,xihe,31.6864,113.4659,9.1,74,72,0.54,CN,1675646176
140,wilmington,34.2257,-77.9447,11.11,91,100,3.6,US,1675646117
141,chongwe,-15.3292,28.682,17.18,98,94,1.58,ZM,1675646179
142,shimoda,34.6667,138.95,10.06,42,100,3.76,JP,1675646182
143,chimbote,-9.0853,-78.5783,22.12,80,80,2.19,PE,1675646147
144,severo-kurilsk,50.6789,156.125,-2.83,73,100,4.28,RU,1675646185
145,agadir,30.4202,-9.5982,9.25,53,74,2.49,MA,1675646186
146,araquari,-26.3703,-48.7211,23.96,94,0,0.0,BR,1675646189
147,tukums,56.9669,23.1553,-2.36,93,100,4.13,LV,1675645946
148,hualmay,-11.0964,-77.6139,22.81,80,67,3.26,PE,1675646190
149,cape town,-33.9258,18.4232,22.17,77,0,4.92,ZA,1675646190
150,lujiang,31.2581,117.2817,8.79,77,100,1.59,CN,1675646190
151,lavrentiya,65.5833,-171.0,-19.51,88,100,4.14,RU,1675646192
152,makakilo city,21.3469,-158.0858,27.18,63,20,6.69,US,1675645980
153,zaplavnoye,48.7048,45.0229,-6.67,95,100,3.21,RU,1675646192
154,portland,45.5234,-122.6762,10.32,88,75,4.12,US,1675645848
155,fleetwood,53.9253,-3.0109,2.81,73,13,2.92,GB,1675646192
156,huarmey,-10.0681,-78.1522,22.78,79,77,2.66,PE,1675646193
157,otradnoye,59.7775,30.8181,-2.97,94,100,3.18,RU,1675646193
158,kathmandu,27.7167,85.3167,8.8,83,20,1.03,NP,1675645743
159,ornskoldsvik,63.2909,18.7153,-0.47,80,85,5.66,SE,1675646194
160,marsh harbour,26.5412,-77.0636,23.52,82,95,8.1,BS,1675646194
161,senanga,-16.1167,23.2667,19.23,97,100,4.08,ZM,1675646194
162,camacha,33.0833,-16.3333,13.68,67,20,4.63,PT,1675646195
163,east london,-33.0153,27.9116,23.36,85,82,5.82,ZA,1675646195
164,avera,33.194,-82.5271,10.73,88,0,3.26,US,1675646002
165,bairiki,1.3292,172.9752,31.0,66,20,8.23,KI,1675646196
166,ambulu,-8.345,113.6058,26.49,81,93,0.76,ID,1675646196
167,hasaki,35.7333,140.8333,10.16,70,3,3.04,JP,1675645978
168,upington,-28.4478,21.2561,21.21,88,0,1.54,ZA,1675646197
169,bambous virieux,-20.3428,57.7575,26.23,88,40,1.54,MU,1675646197
170,saskylakh,71.9167,114.0833,-41.73,100,94,1.72,RU,1675645982
171,axim,4.8699,-2.2405,26.62,88,62,4.38,GH,1675646198
172,kavieng,-2.5744,150.7967,28.84,70,58,1.89,PG,1675646198
173,sibolga,1.7427,98.7792,21.64,93,100,3.91,ID,1675646199
174,sikasso,10.9167,-7.0,25.28,17,52,2.65,ML,1675646200
175,llanes,43.4198,-4.7549,8.79,75,63,5.77,ES,1675646200
176,caiaponia,-16.9567,-51.8103,21.25,88,89,0.6,BR,1675646201
177,gravelbourg,49.8834,-106.5512,2.15,83,98,4.38,CA,1675646201
178,richards bay,-28.783,32.0377,22.89,87,68,1.8,ZA,1675646202
179,hofn,64.2539,-15.2082,7.89,95,100,16.51,IS,1675646041
180,anito,12.4497,125.2886,26.31,90,100,4.7,PH,1675646203
181,daru,-9.0763,143.2092,25.26,91,100,2.53,PG,1675646203
182,praya,14.9215,-23.5087,20.3,64,75,9.26,CV,1675646133
183,vila,42.0304,-8.1588,3.72,59,1,2.27,PT,1675646204
184,hobart,-42.8794,147.3294,22.37,52,40,9.26,AU,1675646204
185,qandala,11.472,49.8728,21.95,78,29,1.56,SO,1675646081
186,garchitorena,13.8804,123.6946,26.39,84,22,3.13,PH,1675646205
187,dikson,73.5069,80.5464,-18.81,97,100,1.04,RU,1675646011
188,bhag,29.0415,67.8239,18.56,32,0,3.7,PK,1675646205
189,castro,-24.7911,-50.0119,17.5,84,9,2.52,BR,1675646177
190,puerto gaitan,4.3133,-72.0816,29.03,48,59,5.9,CO,1675646206
191,karasjok,69.4719,25.5112,-6.31,89,10,4.65,NO,1675646206
192,masindi,1.6744,31.715,22.74,37,74,1.03,UG,1675646207
193,ust-kulom,61.6864,53.6902,-24.81,100,100,1.08,RU,1675646208
194,maningrida,-12.0667,134.2667,29.19,56,100,2.15,AU,1675646209
195,mackenzie,55.2999,-123.1698,2.12,55,40,1.54,CA,1675646209
196,tessalit,20.1986,1.0114,18.93,11,0,3.71,ML,1675646209
197,cantagalo,-21.9811,-42.3681,21.69,95,100,1.78,BR,1675646209
198,hosakote,14.2769,77.1699,19.9,63,100,1.37,IN,1675646210
199,bull savanna,17.8868,-77.5902,22.48,83,0,3.7,JM,1675646211
200,pumiao,22.75,108.4833,12.22,95,100,2.49,CN,1675646211
